         1 0.0072000000

         2 0.0186000000

         3 0.0467000000

         4 0.0673000000

         5 0.0916000000

         6 0.1092000000

         7 0.1232000000

         8 0.1435000000

         9 0.1429000000

        10 0.1501000000

        11 0.1524000000

        12 0.1518000000

        13 0.1561000000

        14 0.1571000000

        15 0.1540000000

        16 0.1466000000

        17 0.1329000000

        18 0.1294000000

        19 0.1274000000

        20 0.1322000000

        21 0.1342000000

        22 0.1391000000

        23 0.1466000000

        24 0.1552000000

        25 0.1595000000

        26 0.1577000000

        27 0.1591000000

        28 0.1636000000

        29 0.1642000000

        30 0.1641000000

        31 0.1573000000

        32 0.1551000000

        33 0.1585000000

        34 0.1558000000

        35 0.1581000000

        36 0.1574000000

        37 0.1619000000

        38 0.1653000000

        39 0.1700000000

        40 0.1695000000

        41 0.1781000000

